row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
2524,2524,0000100111011100,0.85015625,0.17320085,7,0.70842424
2525,2525,0000100111011101,0.89103125,0.01527710,8,0.73087848
2526,2526,0000100111011110,0.90417709,0.04440807,8,0.74373301
2527,2527,0000100111011111,0.92782291,0.04357996,9,0.74738711
2528,2528,0000100111100000,0.70705208,0.04519977,5,0.60660008
2529,2529,0000100111100001,0.79590625,0.13288613,6,0.67457738
2530,2530,0000100111100010,0.82094270,0.03698856,6,0.70057282
2531,2531,0000100111100011,0.86966667,0.03719630,7,0.72929470
2532,2532,0000100111100100,0.77215104,0.04183010,6,0.65173274
2533,2533,0000100111100101,0.83893229,0.12610050,7,0.69767128
2534,2534,0000100111100110,0.86050001,0.01704964,7,0.72032951
2535,2535,0000100111100111,0.89740625,0.02229309,8,0.73718332
2536,2536,0000100111101000,0.80266667,0.01330456,6,0.68253362
2537,2537,0000100111101001,0.85682813,0.01610473,7,0.71666709
2538,2538,0000100111101010,0.87297917,0.02226957,7,0.73275647
2539,2539,0000100111101011,0.90681771,0.04202004,8,0.74639751
2540,2540,0000100111101100,0.84317708,0.13002643,7,0.70187681
2541,2541,0000100111101101,0.88496354,0.01411629,8,0.72482238
2542,2542,0000100111101110,0.89673958,0.04419983,8,0.73629759
2543,2543,0000100111101111,0.92278646,0.04679804,9,0.74231848
2544,2544,0000100111110000,0.81366146,0.12901941,6,0.69237126
2545,2545,0000100111110001,0.86465625,0.01607122,7,0.72449554
2546,2546,0000100111110010,0.88318229,0.04952141,7,0.74268708
2547,2547,0000100111110011,0.91248438,0.04767436,8,0.75200764
2548,2548,0000100111110100,0.84915625,0.13428884,7,0.70781336
2549,2549,0000100111110101,0.89003646,0.02181784,8,0.72981828
2550,2550,0000100111110110,0.90521875,0.05951796,8,0.74462357
2551,2551,0000100111110111,0.92576041,0.06792507,9,0.74508116
2552,2552,0000100111111000,0.86653646,0.01441060,7,0.72639235
2553,2553,0000100111111001,0.90269791,0.02195104,8,0.74247840
2554,2554,0000100111111010,0.91277604,0.02886421,8,0.75248739
2555,2555,0000100111111011,0.93339583,0.12825675,9,0.75211327
2556,2556,0000100111111100,0.88948958,0.01548920,8,0.72933469
2557,2557,0000100111111101,0.91877083,0.04664520,9,0.73830438
2558,2558,0000100111111110,0.92576562,0.05347718,9,0.74523085
2559,2559,0000100111111111,0.94341667,0.56665056,10,0.73775016
2560,2560,0000101000000000,0.16129688,0.01211946,2,0.12117568
2561,2561,0000101000000001,0.27121354,0.04939487,3,0.21071959
2562,2562,0000101000000010,0.35227083,0.03832827,3,0.29188755
2563,2563,0000101000000011,0.47764583,0.10762124,4,0.39656962
2564,2564,0000101000000100,0.27656771,0.00998451,3,0.21646786
2565,2565,0000101000000101,0.40003646,0.01724473,4,0.31986401
2566,2566,0000101000000110,0.47977084,0.02727631,4,0.39949807
2567,2567,0000101000000111,0.58781250,0.44323004,5,0.48338020
2568,2568,0000101000001000,0.34508333,0.01857622,3,0.28489757
2569,2569,0000101000001001,0.47619792,0.03991822,4,0.39579873
2570,2570,0000101000001010,0.55272917,0.17900133,4,0.47093916
2571,2571,0000101000001011,0.65080729,0.05542384,5,0.55025305
2572,2572,0000101000001100,0.47340625,0.05521245,4,0.39285413
2573,2573,0000101000001101,0.58409896,0.12483349,5,0.48285062
2574,2574,0000101000001110,0.64593750,0.01434342,5,0.54579406
2575,2575,0000101000001111,0.72053125,0.58995291,6,0.59463172
2576,2576,0000101000010000,0.33518229,0.03272554,3,0.27485504
2577,2577,0000101000010001,0.45549479,0.02948727,4,0.37519992
2578,2578,0000101000010010,0.53820313,0.02196097,4,0.45798352
2579,2579,0000101000010011,0.63388021,0.02063362,5,0.53367387
2580,2580,0000101000010100,0.47885417,0.03641179,4,0.39849005
2581,2581,0000101000010101,0.56989584,0.03434358,5,0.46955240
2582,2582,0000101000010110,0.64911459,0.01041917,5,0.54901040
2583,2583,0000101000010111,0.71966666,0.04048860,6,0.59926178
2584,2584,0000101000011000,0.53992708,0.02629705,4,0.45966411
2585,2585,0000101000011001,0.63927083,0.03730986,5,0.53889774
