seed,best_fitness,best_bitstring
1000,0.93098958,0100011110000000010
1001,0.92708333,0101011010100000111
1002,0.93098958,0100011110000000010
1003,0.93229167,0101011000000000010
1004,0.93229167,0101011000000000010
1005,0.92578125,0100011010000100010
1006,0.93229167,0101011000000000010
1007,0.92968750,0110111100001000110
1008,0.93229167,0101011000000000010
1009,0.92447917,0100011101000000110
