seed,best_fitness,best_bitstring
1000,4.00000000,0010001011000000
1001,4.00000000,1111110111011100
1002,4.00000000,0110110111111011
1003,4.00000000,0000001001011000
1004,4.00000000,1011110110111110
1005,4.00000000,1111110101001111
1006,4.00000000,0000001100010001
1007,4.00000000,1100101000000000
1008,4.00000000,1111011110101110
1009,4.00000000,1111101110110101
