row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
1,1,000000000000001,0.64652423,0.29818693,1,0.59670554
2,2,000000000000010,0.61176658,0.30541839,1,0.56122474
3,3,000000000000011,0.68797831,0.24797369,2,0.62318094
4,4,000000000000100,0.54719387,0.01871253,1,0.52532262
5,5,000000000000101,0.68271683,0.10729957,2,0.63198688
6,6,000000000000110,0.64110331,0.10369632,2,0.59073368
7,7,000000000000111,0.67426658,0.41597899,3,0.57266868
8,8,000000000001000,0.53236607,0.01932297,1,0.51043377
9,9,000000000001001,0.68176021,0.09918544,2,0.63184166
10,10,000000000001010,0.60921557,0.07673684,2,0.56154188
11,11,000000000001011,0.67091836,0.53585907,3,0.55733246
12,12,000000000001100,0.53396045,0.02983888,2,0.49097656
13,13,000000000001101,0.66581632,0.16099729,3,0.58971659
14,14,000000000001110,0.61878189,0.19763804,3,0.53901808
15,15,000000000001111,0.67570153,0.34803605,4,0.56089792
16,16,000000000010000,0.73389669,0.05075945,1,0.70882075
17,17,000000000010001,0.76578443,0.14936780,2,0.71084765
18,18,000000000010010,0.72098215,0.16169348,2,0.66481280
19,19,000000000010011,0.74585459,0.61157145,3,0.62469745
20,20,000000000010100,0.73915817,0.04813099,2,0.69434507
21,21,000000000010101,0.76419005,0.22597788,3,0.68159226
22,22,000000000010110,0.71667731,0.25410236,3,0.63126707
23,23,000000000010111,0.75366709,0.31867080,4,0.64180001
24,24,000000000011000,0.73915817,0.01168147,2,0.69799002
25,25,000000000011001,0.76291453,0.20526604,3,0.68238793
26,26,000000000011010,0.70551659,0.36411589,3,0.60910500
27,27,000000000011011,0.74952168,0.39503648,4,0.63001803
28,28,000000000011100,0.73533163,0.06399976,3,0.66893166
29,29,000000000011101,0.75956632,0.20618119,4,0.65894820
30,30,000000000011110,0.71014032,0.22630874,4,0.60750944
31,31,000000000011111,0.75302933,0.33754311,5,0.61927502
32,32,000000000100000,0.73262118,0.00000000,1,0.71262118
33,33,000000000100001,0.77008928,0.08760601,2,0.72132868
34,34,000000000100010,0.73309949,0.18936980,2,0.67416251
35,35,000000000100011,0.75239158,0.36242059,3,0.65614952
36,36,000000000100100,0.72911352,0.04689992,2,0.68442353
37,37,000000000100101,0.76801657,0.13174072,3,0.69484250
38,38,000000000100110,0.71221301,0.14485994,3,0.63772702
39,39,000000000100111,0.75940689,0.27306785,4,0.65210010
40,40,000000000101000,0.72815690,0.00164256,2,0.68799264
41,41,000000000101001,0.77136479,0.16946127,3,0.69441866
42,42,000000000101010,0.71269134,0.17171040,3,0.63552030
43,43,000000000101011,0.75733418,0.43044296,4,0.63428988
44,44,000000000101100,0.73501276,0.00957385,3,0.67405538
45,45,000000000101101,0.75908801,0.16304413,4,0.66278360
46,46,000000000101110,0.71699618,0.18198232,4,0.61879795
47,47,000000000101111,0.75940688,0.25630938,5,0.63377595
48,48,000000000110000,0.72480868,0.04439945,2,0.68036874
49,49,000000000110001,0.76721938,0.18868030,3,0.68835135
50,50,000000000110010,0.72209823,0.19368302,3,0.64272992
51,51,000000000110011,0.77136479,0.29345671,4,0.66201912
52,52,000000000110100,0.72448980,0.04942735,3,0.65954707
53,53,000000000110101,0.77471300,0.15824515,4,0.67888849
54,54,000000000110110,0.73580995,0.17102403,4,0.63870755
55,55,000000000110111,0.77598851,0.42868369,5,0.63312014
56,56,000000000111000,0.71954720,0.02410410,3,0.65713679
57,57,000000000111001,0.76132015,0.12927160,4,0.66839299
58,58,000000000111010,0.72672195,0.16482742,4,0.63023920
59,59,000000000111011,0.76642219,0.25606408,5,0.64081578
60,60,000000000111100,0.71970664,0.05710474,4,0.63399617
61,61,000000000111101,0.76610331,0.14569655,5,0.65153365
62,62,000000000111110,0.72767858,0.15986975,5,0.61169161
63,63,000000000111111,0.76355229,0.33492897,6,0.61005939
64,64,000000001000000,0.86272322,0.16914029,1,0.82580919
65,65,000000001000001,0.86288266,0.09103706,2,0.81377895
66,66,000000001000010,0.86623087,0.10579816,2,0.81565106
67,67,000000001000011,0.86447704,0.36897839,3,0.76757920
68,68,000000001000100,0.86304210,0.03240160,2,0.81980194
69,69,000000001000101,0.85427297,0.15003079,3,0.77926989
70,70,000000001000110,0.87085459,0.16883476,3,0.79397112
71,71,000000001000111,0.87244898,0.24794498,4,0.76765448
72,72,000000001001000,0.86543368,0.00186961,2,0.82524672
73,73,000000001001001,0.85188138,0.12438847,3,0.77944254
74,74,000000001001010,0.85204083,0.14728166,3,0.77731266
75,75,000000001001011,0.86670919,0.26141091,4,0.76056810
76,76,000000001001100,0.85522960,0.04366093,3,0.79086351
77,77,000000001001101,0.85682399,0.13164929,4,0.76365906
78,78,000000001001110,0.85762118,0.17906812,4,0.75971437
79,79,000000001001111,0.86654975,0.23228389,5,0.74332136
80,80,000000001010000,0.86240434,0.01266766,2,0.82113758
81,81,000000001010001,0.85076531,0.23870366,3,0.76689495
82,82,000000001010010,0.85538904,0.19570699,3,0.77581834
83,83,000000001010011,0.86894133,0.26852219,4,0.76208911
84,84,000000001010100,0.85857781,0.05021283,3,0.79355653
85,85,000000001010101,0.85666455,0.15909710,4,0.76075484
86,86,000000001010110,0.87818877,0.16581038,4,0.78160774
87,87,000000001010111,0.87802934,0.25269530,5,0.75275981
88,88,000000001011000,0.85937501,0.16136859,3,0.78323815
89,89,000000001011001,0.85666455,0.19241523,4,0.75742303
90,90,000000001011010,0.85188139,0.21240755,4,0.75064063
91,91,000000001011011,0.86894133,0.25773963,5,0.74316737
92,92,000000001011100,0.86447704,0.05709263,4,0.77876778
93,93,000000001011101,0.85092475,0.17191888,5,0.73373286
94,94,000000001011110,0.86718750,0.15270395,5,0.75191711
95,95,000000001011111,0.88042092,0.25486497,6,0.73493442
96,96,000000001100000,0.86383929,0.00098569,2,0.82374072
97,97,000000001100001,0.85794006,0.18978563,3,0.77896150
98,98,000000001100010,0.85953444,0.28114268,3,0.77142018
99,99,000000001100011,0.87133291,0.26889020,4,0.76444389
100,100,000000001100100,0.86702807,0.00767204,3,0.80626086
101,101,000000001100101,0.86160715,0.10182006,4,0.77142514
102,102,000000001100110,0.87356505,0.14135605,4,0.77942945
103,103,000000001100111,0.87802934,0.21753463,5,0.75627587
104,104,000000001101000,0.85746174,0.04451064,3,0.79301068
105,105,000000001101001,0.85905613,0.14048668,4,0.76500746
106,106,000000001101010,0.85618623,0.14839363,4,0.76134687
107,107,000000001101011,0.87324617,0.22406212,5,0.75083996
108,108,000000001101100,0.86017220,0.04557820,4,0.77561438
109,109,000000001101101,0.85124363,0.09960550,5,0.74128308
110,110,000000001101110,0.86065052,0.09816590,5,0.75083393
111,111,000000001101111,0.87356505,0.21362118,6,0.73220293
112,112,000000001110000,0.86224490,0.12151482,3,0.79009342
113,113,000000001110001,0.85873725,0.29125466,4,0.74961178
114,114,000000001110010,0.86575256,0.17042003,4,0.76871055
115,115,000000001110011,0.87930484,0.23068207,5,0.75623664
116,116,000000001110100,0.85618623,0.05229539,4,0.77095669
117,117,000000001110101,0.85156251,0.13459996,5,0.73810251
118,118,000000001110110,0.87244898,0.13697867,5,0.75875111
119,119,000000001110111,0.88026148,0.19647506,6,0.74061397
120,120,000000001111000,0.86033164,0.05510516,4,0.77482112
121,121,000000001111001,0.85650511,0.13533222,5,0.74297188
122,122,000000001111010,0.85235970,0.14398532,5,0.73796117
123,123,000000001111011,0.87531888,0.28410582,6,0.72690830
124,124,000000001111100,0.85538904,0.20747622,5,0.73464142
125,125,000000001111101,0.84614159,0.13477429,6,0.71266416
126,126,000000001111110,0.86463648,0.13768536,6,0.73086795
127,127,000000001111111,0.86766582,0.36383595,7,0.69128223
128,128,000000010000000,0.63568239,0.19415044,1,0.59626735
129,129,000000010000001,0.71986608,0.28289854,2,0.65157623
130,130,000000010000010,0.66470024,0.31146460,2,0.59355378
131,131,000000010000011,0.71890945,0.71329991,3,0.58757946
132,132,000000010000100,0.68877552,0.04833062,2,0.64394246
133,133,000000010000101,0.70982143,0.38316570,3,0.61150486
134,134,000000010000110,0.64923469,0.36934836,3,0.55229985
135,135,000000010000111,0.72528700,0.44802321,4,0.60048467
136,136,000000010001000,0.67028061,0.08702225,2,0.62157838
137,137,000000010001001,0.71492348,0.35429815,3,0.61949366
138,138,000000010001010,0.64971300,0.61172591,3,0.52854041
139,139,000000010001011,0.72720026,0.44035230,4,0.60316503
140,140,000000010001100,0.65720663,0.18981903,3,0.57822473
141,141,000000010001101,0.71603955,0.30802516,4,0.60523703
142,142,000000010001110,0.66485969,0.32164165,4,0.55269552
143,143,000000010001111,0.72943240,0.52289791,5,0.57714261
144,144,000000010010000,0.75000000,0.16696012,2,0.69330399
145,145,000000010010001,0.75940688,0.45014615,3,0.65439227
146,146,000000010010010,0.73995536,0.43799113,3,0.63615625
147,147,000000010010011,0.77279974,0.45575026,4,0.64722471
148,148,000000010010100,0.73883929,0.26092956,3,0.65274633
149,149,000000010010101,0.76546555,0.49848128,4,0.63561743
150,150,000000010010110,0.73612883,0.36102920,4,0.62002591
151,151,000000010010111,0.76785714,0.42640081,5,0.62521705
152,152,000000010011000,0.73947705,0.21959063,3,0.65751798
153,153,000000010011001,0.75797194,0.36413987,4,0.64155795
154,154,000000010011010,0.74872449,0.39232252,4,0.62949224
