row,decimal,fitness,bitstring
781,780,4.00000000,0000001100001100
786,785,4.00000000,0000001100010001
787,786,4.00000000,0000001100010010
789,788,4.00000000,0000001100010100
793,792,4.00000000,0000001100011000
802,801,4.00000000,0000001100100001
803,802,4.00000000,0000001100100010
805,804,4.00000000,0000001100100100
809,808,4.00000000,0000001100101000
817,816,4.00000000,0000001100110000
834,833,4.00000000,0000001101000001
835,834,4.00000000,0000001101000010
837,836,4.00000000,0000001101000100
841,840,4.00000000,0000001101001000
849,848,4.00000000,0000001101010000
865,864,4.00000000,0000001101100000
898,897,4.00000000,0000001110000001
899,898,4.00000000,0000001110000010
901,900,4.00000000,0000001110000100
905,904,4.00000000,0000001110001000
913,912,4.00000000,0000001110010000
929,928,4.00000000,0000001110100000
961,960,4.00000000,0000001111000000
1032,1031,4.00000000,0000010000000111
1036,1035,4.00000000,0000010000001011
1038,1037,4.00000000,0000010000001101
1039,1038,4.00000000,0000010000001110
1044,1043,4.00000000,0000010000010011
1046,1045,4.00000000,0000010000010101
1047,1046,4.00000000,0000010000010110
1050,1049,4.00000000,0000010000011001
1051,1050,4.00000000,0000010000011010
1053,1052,4.00000000,0000010000011100
1060,1059,4.00000000,0000010000100011
1062,1061,4.00000000,0000010000100101
1063,1062,4.00000000,0000010000100110
1066,1065,4.00000000,0000010000101001
1067,1066,4.00000000,0000010000101010
1069,1068,4.00000000,0000010000101100
1074,1073,4.00000000,0000010000110001
1075,1074,4.00000000,0000010000110010
1077,1076,4.00000000,0000010000110100
1081,1080,4.00000000,0000010000111000
1092,1091,4.00000000,0000010001000011
1094,1093,4.00000000,0000010001000101
1095,1094,4.00000000,0000010001000110
1098,1097,4.00000000,0000010001001001
1099,1098,4.00000000,0000010001001010
1101,1100,4.00000000,0000010001001100
1106,1105,4.00000000,0000010001010001
1107,1106,4.00000000,0000010001010010
1109,1108,4.00000000,0000010001010100
1113,1112,4.00000000,0000010001011000
1122,1121,4.00000000,0000010001100001
1123,1122,4.00000000,0000010001100010
1125,1124,4.00000000,0000010001100100
1129,1128,4.00000000,0000010001101000
1137,1136,4.00000000,0000010001110000
1156,1155,4.00000000,0000010010000011
1158,1157,4.00000000,0000010010000101
1159,1158,4.00000000,0000010010000110
1162,1161,4.00000000,0000010010001001
1163,1162,4.00000000,0000010010001010
1165,1164,4.00000000,0000010010001100
1170,1169,4.00000000,0000010010010001
1171,1170,4.00000000,0000010010010010
1173,1172,4.00000000,0000010010010100
1177,1176,4.00000000,0000010010011000
1186,1185,4.00000000,0000010010100001
1187,1186,4.00000000,0000010010100010
1189,1188,4.00000000,0000010010100100
1193,1192,4.00000000,0000010010101000
1201,1200,4.00000000,0000010010110000
1218,1217,4.00000000,0000010011000001
1219,1218,4.00000000,0000010011000010
1221,1220,4.00000000,0000010011000100
1225,1224,4.00000000,0000010011001000
1233,1232,4.00000000,0000010011010000
1249,1248,4.00000000,0000010011100000
1284,1283,4.00000000,0000010100000011
1286,1285,4.00000000,0000010100000101
1287,1286,4.00000000,0000010100000110
1290,1289,4.00000000,0000010100001001
