row,decimal,fitness,bitstring
4,3,2.00000000,00000011
6,5,2.00000000,00000101
7,6,2.00000000,00000110
10,9,2.00000000,00001001
11,10,2.00000000,00001010
13,12,2.00000000,00001100
18,17,2.00000000,00010001
19,18,2.00000000,00010010
21,20,2.00000000,00010100
25,24,2.00000000,00011000
34,33,2.00000000,00100001
35,34,2.00000000,00100010
37,36,2.00000000,00100100
41,40,2.00000000,00101000
49,48,2.00000000,00110000
64,63,2.00000000,00111111
66,65,2.00000000,01000001
67,66,2.00000000,01000010
69,68,2.00000000,01000100
73,72,2.00000000,01001000
81,80,2.00000000,01010000
96,95,2.00000000,01011111
97,96,2.00000000,01100000
112,111,2.00000000,01101111
120,119,2.00000000,01110111
124,123,2.00000000,01111011
126,125,2.00000000,01111101
127,126,2.00000000,01111110
130,129,2.00000000,10000001
131,130,2.00000000,10000010
133,132,2.00000000,10000100
137,136,2.00000000,10001000
145,144,2.00000000,10010000
160,159,2.00000000,10011111
161,160,2.00000000,10100000
176,175,2.00000000,10101111
184,183,2.00000000,10110111
188,187,2.00000000,10111011
190,189,2.00000000,10111101
191,190,2.00000000,10111110
193,192,2.00000000,11000000
208,207,2.00000000,11001111
216,215,2.00000000,11010111
220,219,2.00000000,11011011
222,221,2.00000000,11011101
223,222,2.00000000,11011110
232,231,2.00000000,11100111
236,235,2.00000000,11101011
238,237,2.00000000,11101101
239,238,2.00000000,11101110
244,243,2.00000000,11110011
246,245,2.00000000,11110101
247,246,2.00000000,11110110
250,249,2.00000000,11111001
251,250,2.00000000,11111010
253,252,2.00000000,11111100
