seed,best_fitness,best_bitstring
1000,2.00000000,00101000
1001,2.00000000,01111011
1002,2.00000000,10111101
1003,2.00000000,10000001
1004,2.00000000,11010111
1005,2.00000000,10100000
1006,2.00000000,10100000
1007,2.00000000,10010000
1008,2.00000000,10110111
1009,2.00000000,11011101
