row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
32387,32387,111111010000011,0.76004464,0.66498097,9,0.57339483
32388,32388,111111010000100,0.70424108,0.56842689,8,0.53855681
32389,32389,111111010000101,0.73389669,0.77572294,9,0.54613946
32390,32390,111111010000110,0.70966200,0.61277045,9,0.52353429
32391,32391,111111010000111,0.74314414,0.65218665,10,0.53662227
32392,32392,111111010001000,0.68239795,0.56456152,8,0.51675234
32393,32393,111111010001001,0.73453445,0.58608218,9,0.54867362
32394,32394,111111010001010,0.70886480,0.81224089,9,0.52074240
32395,32395,111111010001011,0.74362245,0.62506560,10,0.53737180
32396,32396,111111010001100,0.69212373,0.52589266,9,0.50686480
32397,32397,111111010001101,0.73724490,0.70732196,10,0.53017168
32398,32398,111111010001110,0.70934312,0.58307441,10,0.50351237
32399,32399,111111010001111,0.74394133,0.59729232,11,0.51796840
32400,32400,111111010010000,0.76195790,0.56968857,8,0.59626102
32401,32401,111111010010001,0.78842473,0.60917572,9,0.60233297
32402,32402,111111010010010,0.76419005,0.78155763,9,0.57637447
32403,32403,111111010010011,0.78204719,0.61168237,10,0.57593036
32404,32404,111111010010100,0.74856505,0.52550309,9,0.56331002
32405,32405,111111010010101,0.77806121,0.71602614,10,0.57090095
32406,32406,111111010010110,0.77343749,0.55761838,10,0.56786131
32407,32407,111111010010111,0.78539540,0.62267979,11,0.55916860
32408,32408,111111010011000,0.76036352,0.53889787,9,0.57497454
32409,32409,111111010011001,0.78220663,0.74957888,10,0.57471084
32410,32410,111111010011010,0.76642219,0.55821013,10,0.56084009
32411,32411,111111010011011,0.78922193,0.59125956,11,0.56330934
32412,32412,111111010011100,0.75398597,0.56698679,10,0.54831610
32413,32413,111111010011101,0.77838010,0.71027970,11,0.55127730
32414,32414,111111010011110,0.77311861,0.53474147,11,0.54777120
32415,32415,111111010011111,0.79544005,0.57114197,12,0.54972863
32416,32416,111111010100000,0.76211734,0.72327203,8,0.59488462
32417,32417,111111010100001,0.77056760,0.57726565,9,0.58479494
32418,32418,111111010100010,0.75478316,0.55612753,9,0.56922189
32419,32419,111111010100011,0.77710458,0.75577802,10,0.56954680
32420,32420,111111010100100,0.75765306,0.55054355,9,0.57214762
32421,32421,111111010100101,0.77072704,0.53517794,10,0.56537526
32422,32422,111111010100110,0.75845025,0.52834420,10,0.55316681
32423,32423,111111010100111,0.77822065,0.65076126,11,0.55171304
32424,32424,111111010101000,0.74936224,0.68180280,9,0.56254422
32425,32425,111111010101001,0.77790177,0.53184608,10,0.57258331
32426,32426,111111010101010,0.75000000,0.53916135,10,0.54460839
32427,32427,111111010101011,0.78124999,0.73912636,11,0.55385873
32428,32428,111111010101100,0.75510204,0.47873326,10,0.55031471
32429,32429,111111010101101,0.76594387,0.50236566,11,0.54092021
32430,32430,111111010101110,0.75255102,0.57201777,11,0.52683084
32431,32431,111111010101111,0.77008928,0.71265610,12,0.52296272
32432,32432,111111010110000,0.75542091,0.50456345,9,0.57037528
32433,32433,111111010110001,0.78459820,0.55627151,10,0.57903549
32434,32434,111111010110010,0.77056759,0.73166967,10,0.56325090
32435,32435,111111010110011,0.77901785,0.58906249,11,0.55312722
32436,32436,111111010110100,0.76498724,0.47833253,10,0.56020391
32437,32437,111111010110101,0.77822065,0.52878153,11,0.55293284
32438,32438,111111010110110,0.76849489,0.71263627,11,0.54136853
32439,32439,111111010110111,0.79272958,0.55498198,12,0.54717976
32440,32440,111111010111000,0.76243622,0.49082563,10,0.55752796
32441,32441,111111010111001,0.78284438,0.68187946,11,0.55602558
32442,32442,111111010111010,0.76881377,0.52103410,11,0.54360343
32443,32443,111111010111011,0.78459821,0.55506299,12,0.53904758
32444,32444,111111010111100,0.77072703,0.45210478,11,0.54620598
32445,32445,111111010111101,0.78172831,0.67084705,12,0.53501984
32446,32446,111111010111110,0.77136479,0.52647086,12,0.52610008
32447,32447,111111010111111,0.77471300,0.68577343,13,0.50785527
32448,32448,111111011000000,0.85108419,0.46715737,8,0.68641262
32449,32449,111111011000001,0.85698342,0.67313940,9,0.67025203
32450,32450,111111011000010,0.86607143,0.53420635,9,0.68072937
32451,32451,111111011000011,0.87149235,0.54734859,10,0.66601886
32452,32452,111111011000100,0.85554847,0.45369982,9,0.67101147
32453,32453,111111011000101,0.85347578,0.47488090,10,0.64872697
32454,32454,111111011000110,0.86112883,0.50059807,10,0.65612285
32455,32455,111111011000111,0.86096939,0.74270898,11,0.63354230
32456,32456,111111011001000,0.85427297,0.44858060,9,0.66978716
32457,32457,111111011001001,0.86017220,0.48048513,10,0.65536735
