row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
53072,53072,1100111101010000,0.76738542,0.14048231,8,0.59333719
53073,53073,1100111101010001,0.82000521,0.04207869,9,0.63579734
53074,53074,1100111101010010,0.85386979,0.03470228,9,0.67039956
53075,53075,1100111101010011,0.88061458,0.14520106,10,0.66609448
53076,53076,1100111101010100,0.81134896,0.01642227,9,0.62970673
53077,53077,1100111101010101,0.85291667,0.06725777,10,0.64619089
53078,53078,1100111101010110,0.88173437,0.13622253,10,0.66811212
53079,53079,1100111101010111,0.90303125,0.04727033,11,0.67830422
53080,53080,1100111101011000,0.83121354,0.04337729,9,0.64687581
53081,53081,1100111101011001,0.86895313,0.13800312,10,0.65515282
53082,53082,1100111101011010,0.88835417,0.04363078,10,0.68399109
53083,53083,1100111101011011,0.90883333,0.04786198,11,0.68404713
53084,53084,1100111101011100,0.85947396,0.14989931,10,0.64448403
53085,53085,1100111101011101,0.89015104,0.04135685,11,0.66601535
53086,53086,1100111101011110,0.90656771,0.13137107,11,0.67343060
53087,53087,1100111101011111,0.92447396,0.04274498,12,0.68019946
53088,53088,1100111101100000,0.74659896,0.04188929,8,0.58241003
53089,53089,1100111101100001,0.81211458,0.01451555,9,0.63066303
53090,53090,1100111101100010,0.83640105,0.04168926,9,0.65223212
53091,53091,1100111101100011,0.87317188,0.05576290,10,0.66759559
53092,53092,1100111101100100,0.78461458,0.14051761,9,0.59056282
53093,53093,1100111101100101,0.84130729,0.04315761,10,0.63699153
53094,53094,1100111101100110,0.86101042,0.04540818,10,0.65646960
53095,53095,1100111101100111,0.89163020,0.15285369,11,0.65634484
53096,53096,1100111101101000,0.81545312,0.05334362,9,0.63011876
53097,53097,1100111101101001,0.86071354,0.13199331,10,0.64751421
53098,53098,1100111101101010,0.87271354,0.06629838,10,0.66608370
53099,53099,1100111101101011,0.90066667,0.14591121,11,0.66607555
53100,53100,1100111101101100,0.84064584,0.08257668,10,0.63238817
53101,53101,1100111101101101,0.87731771,0.04791579,11,0.65252613
53102,53102,1100111101101110,0.89175000,0.02736882,11,0.66901312
53103,53103,1100111101101111,0.91395312,0.05949916,12,0.66800321
53104,53104,1100111101110000,0.81291666,0.13633779,9,0.61928288
53105,53105,1100111101110001,0.85575000,0.04152283,10,0.65159772
53106,53106,1100111101110010,0.88027083,0.04564943,10,0.67570589
53107,53107,1100111101110011,0.90196875,0.14964143,11,0.66700461
53108,53108,1100111101110100,0.84356250,0.06736623,10,0.63682588
53109,53109,1100111101110101,0.87816146,0.13826173,11,0.64433529
53110,53110,1100111101110110,0.89734895,0.04556811,11,0.67279214
53111,53111,1100111101110111,0.91755209,0.04518195,12,0.67303389
53112,53112,1100111101111000,0.86210938,0.01533889,10,0.66057549
53113,53113,1100111101111001,0.89290625,0.05610535,11,0.66729571
53114,53114,1100111101111010,0.90540104,0.04692656,11,0.68070839
53115,53115,1100111101111011,0.92376042,0.13052475,12,0.67070794
53116,53116,1100111101111100,0.87978646,0.04414116,11,0.65537234
53117,53117,1100111101111101,0.90565104,0.12703935,12,0.65294711
53118,53118,1100111101111110,0.91890105,0.04190143,12,0.67471091
53119,53119,1100111101111111,0.93307813,0.12788294,13,0.66028983
53120,53120,1100111110000000,0.71040625,0.03933073,7,0.56647317
53121,53121,1100111110000001,0.78347917,0.01991103,8,0.62148806
53122,53122,1100111110000010,0.82053646,0.01209730,8,0.65932673
53123,53123,1100111110000011,0.86208854,0.04220602,9,0.67786794
53124,53124,1100111110000100,0.76878125,0.05402928,8,0.60337832
53125,53125,1100111110000101,0.82491145,0.13023647,9,0.63188781
53126,53126,1100111110000110,0.85683334,0.01543744,9,0.67528959
53127,53127,1100111110000111,0.88700520,0.06944705,10,0.68006050
53128,53128,1100111110001000,0.79206771,0.04318205,8,0.62774950
53129,53129,1100111110001001,0.83979166,0.14502532,9,0.64528913
53130,53130,1100111110001010,0.86663020,0.05253097,9,0.68137711
53131,53131,1100111110001011,0.89404687,0.04390557,10,0.68965632
53132,53132,1100111110001100,0.83000000,0.14413651,9,0.63558635
53133,53133,1100111110001101,0.86757813,0.04086947,10,0.66349118
53134,53134,1100111110001110,0.89183333,0.13963159,10,0.67787017
53135,53135,1100111110001111,0.91345833,0.05299988,11,0.68815835
53136,53136,1100111110010000,0.78844792,0.04420171,8,0.62402775
53137,53137,1100111110010001,0.83576042,0.14594459,9,0.64116596
53138,53138,1100111110010010,0.86909375,0.02549422,9,0.68654432
53139,53139,1100111110010011,0.89558334,0.13299890,10,0.68228345
53140,53140,1100111110010100,0.82789584,0.01780208,9,0.64611563
53141,53141,1100111110010101,0.86576563,0.03703393,10,0.66206223
53142,53142,1100111110010110,0.89488021,0.14260149,10,0.68062006
53143,53143,1100111110010111,0.91335417,0.05481038,11,0.68787313
53144,53144,1100111110011000,0.84242708,0.04578558,9,0.65784852
53145,53145,1100111110011001,0.87606770,0.14669089,10,0.66139861
53146,53146,1100111110011010,0.89820312,0.04004601,10,0.69419852
53147,53147,1100111110011011,0.91970833,0.16531349,11,0.68317698
53148,53148,1100111110011100,0.86929167,0.06403952,10,0.66288772
53149,53149,1100111110011101,0.89515105,0.04338222,11,0.67081282
