generation,mean_best_so_far
0,0.91277941
1,0.91377143
2,0.91409239
3,0.91473430
4,0.91473430
5,0.91473430
6,0.91473430
7,0.91473430
8,0.91473430
9,0.91473430
10,0.91473430
11,0.91473430
12,0.91473430
13,0.91473430
14,0.91473430
15,0.91473430
16,0.91473430
17,0.91473430
18,0.91473430
19,0.91473430
20,0.91473430
21,0.91473430
22,0.91473430
23,0.91473430
24,0.91473430
25,0.91473430
26,0.91473430
27,0.91473430
28,0.91473430
29,0.91473430
30,0.91473430
31,0.91473430
32,0.91473430
33,0.91473430
34,0.91473430
35,0.91473430
36,0.91473430
37,0.91473430
38,0.91473430
39,0.91473430
40,0.91473430
41,0.91473430
42,0.91473430
43,0.91473430
44,0.91473430
45,0.91473430
46,0.91473430
47,0.91473430
48,0.91473430
49,0.91473430
50,0.91473430
51,0.91473430
52,0.91473430
53,0.91473430
54,0.91473430
55,0.91473430
56,0.91473430
57,0.91473430
58,0.91473430
59,0.91473430
60,0.91473430
61,0.91473430
62,0.91473430
63,0.91473430
64,0.91473430
65,0.91473430
66,0.91473430
67,0.91473430
68,0.91473430
69,0.91473430
70,0.91473430
71,0.91473430
72,0.91473430
73,0.91473430
74,0.91473430
75,0.91473430
76,0.91473430
77,0.91473430
78,0.91473430
79,0.91473430
80,0.91473430
81,0.91473430
82,0.91473430
83,0.91473430
84,0.91473430
85,0.91473430
86,0.91473430
87,0.91473430
88,0.91473430
89,0.91473430
90,0.91473430
91,0.91473430
92,0.91473430
93,0.91473430
94,0.91473430
95,0.91473430
96,0.91473430
97,0.91473430
98,0.91473430
99,0.91473430
100,0.91473430
101,0.91473430
102,0.91473430
103,0.91473430
104,0.91473430
105,0.91473430
106,0.91473430
107,0.91473430
108,0.91473430
109,0.91473430
110,0.91473430
111,0.91473430
112,0.91473430
113,0.91473430
114,0.91473430
115,0.91473430
116,0.91473430
117,0.91473430
118,0.91473430
119,0.91473430
120,0.91473430
121,0.91473430
122,0.91473430
123,0.91473430
124,0.91473430
125,0.91473430
126,0.91473430
127,0.91473430
128,0.91473430
129,0.91473430
130,0.91473430
131,0.91473430
132,0.91473430
133,0.91473430
134,0.91473430
135,0.91473430
136,0.91473430
137,0.91473430
138,0.91473430
139,0.91473430
140,0.91473430
141,0.91473430
142,0.91473430
143,0.91473430
144,0.91473430
145,0.91473430
146,0.91473430
147,0.91473430
148,0.91473430
149,0.91473430
