generation,mean_best_so_far
0,0.74660679
1,0.75839776
2,0.76350101
3,0.76870025
4,0.77340385
5,0.77449425
6,0.77558465
7,0.77579500
8,0.77579500
9,0.77579500
10,0.77579500
11,0.77579500
12,0.77579500
13,0.77579500
14,0.77579500
15,0.77579500
16,0.77579500
17,0.77579500
18,0.77579500
19,0.77579500
20,0.77579500
21,0.77579500
22,0.77579500
23,0.77579500
24,0.77579500
25,0.77579500
26,0.77579500
27,0.77579500
28,0.77579500
29,0.77579500
30,0.77579500
31,0.77579500
32,0.77579500
33,0.77579500
34,0.77579500
35,0.77579500
36,0.77579500
37,0.77579500
38,0.77579500
39,0.77579500
40,0.77579500
41,0.77579500
42,0.77579500
43,0.77579500
44,0.77579500
45,0.77579500
46,0.77579500
47,0.77579500
48,0.77579500
49,0.77579500
50,0.77579500
51,0.77579500
52,0.77579500
53,0.77579500
54,0.77579500
55,0.77579500
56,0.77579500
57,0.77579500
58,0.77579500
59,0.77579500
60,0.77579500
61,0.77579500
62,0.77579500
63,0.77579500
64,0.77579500
65,0.77579500
66,0.77579500
67,0.77579500
68,0.77579500
69,0.77579500
70,0.77579500
71,0.77579500
72,0.77579500
73,0.77579500
74,0.77579500
75,0.77579500
76,0.77579500
77,0.77579500
78,0.77579500
79,0.77579500
80,0.77579500
81,0.77579500
82,0.77579500
83,0.77579500
84,0.77579500
85,0.77579500
86,0.77579500
87,0.77579500
88,0.77579500
89,0.77579500
90,0.77579500
91,0.77579500
92,0.77579500
93,0.77579500
94,0.77579500
95,0.77579500
96,0.77579500
97,0.77579500
98,0.77579500
99,0.77579500
100,0.77579500
101,0.77579500
102,0.77579500
103,0.77579500
104,0.77579500
105,0.77579500
106,0.77579500
107,0.77579500
108,0.77579500
109,0.77579500
110,0.77579500
111,0.77579500
112,0.77579500
113,0.77579500
114,0.77579500
115,0.77579500
116,0.77579500
117,0.77579500
118,0.77579500
119,0.77579500
120,0.77579500
121,0.77579500
122,0.77579500
123,0.77579500
124,0.77579500
125,0.77579500
126,0.77579500
127,0.77579500
128,0.77579500
129,0.77579500
130,0.77579500
131,0.77579500
132,0.77579500
133,0.77579500
134,0.77579500
135,0.77579500
136,0.77579500
137,0.77579500
138,0.77579500
139,0.77579500
140,0.77579500
141,0.77579500
142,0.77579500
143,0.77579500
144,0.77579500
145,0.77579500
146,0.77579500
147,0.77579500
148,0.77579500
149,0.77579500
