generation,mean_best_so_far
0,0.88553890
1,0.88783482
2,0.88783482
3,0.88783482
4,0.88783482
5,0.88783482
6,0.88783482
7,0.88783482
8,0.88783482
9,0.88783482
10,0.88783482
11,0.88783482
12,0.88783482
13,0.88783482
14,0.88783482
15,0.88783482
16,0.88783482
17,0.88783482
18,0.88783482
19,0.88783482
20,0.88783482
21,0.88855229
22,0.88896683
23,0.88896683
24,0.88896683
25,0.88896683
26,0.88896683
27,0.88896683
28,0.88896683
29,0.88896683
30,0.88896683
31,0.88896683
32,0.88896683
33,0.88896683
34,0.88896683
35,0.88896683
36,0.88896683
37,0.88896683
38,0.88896683
39,0.88896683
40,0.88896683
41,0.88938137
42,0.88971619
43,0.88974808
44,0.89041772
45,0.89041772
46,0.89041772
47,0.89041772
48,0.89041772
49,0.89041772
50,0.89041772
51,0.89041772
52,0.89041772
53,0.89041772
54,0.89041772
55,0.89041772
56,0.89041772
57,0.89041772
58,0.89041772
59,0.89041772
60,0.89041772
61,0.89041772
62,0.89086415
63,0.89086415
64,0.89086415
65,0.89086415
66,0.89086415
67,0.89086415
68,0.89086415
69,0.89086415
70,0.89086415
71,0.89086415
72,0.89086415
73,0.89086415
74,0.89086415
75,0.89086415
76,0.89086415
77,0.89086415
78,0.89086415
79,0.89086415
80,0.89086415
81,0.89086415
82,0.89119897
83,0.89119897
84,0.89119897
85,0.89119897
86,0.89119897
87,0.89119897
88,0.89119897
89,0.89119897
90,0.89119897
91,0.89119897
92,0.89119897
93,0.89119897
94,0.89119897
95,0.89119897
96,0.89119897
97,0.89119897
98,0.89119897
99,0.89119897
100,0.89119897
101,0.89119897
102,0.89119897
103,0.89119897
104,0.89119897
105,0.89119897
106,0.89119897
107,0.89119897
108,0.89119897
109,0.89119897
110,0.89119897
111,0.89119897
112,0.89119897
113,0.89119897
114,0.89119897
115,0.89119897
116,0.89119897
117,0.89119897
118,0.89119897
119,0.89119897
120,0.89119897
121,0.89119897
122,0.89119897
123,0.89123086
124,0.89123086
125,0.89123086
126,0.89123086
127,0.89123086
128,0.89123086
129,0.89123086
130,0.89123086
131,0.89123086
132,0.89123086
133,0.89123086
134,0.89123086
135,0.89123086
136,0.89123086
137,0.89123086
138,0.89123086
139,0.89123086
140,0.89123086
141,0.89123086
142,0.89123086
143,0.89123086
144,0.89123086
145,0.89123086
146,0.89123086
147,0.89123086
148,0.89123086
149,0.89123086
