row,decimal,fitness,bitstring
57400,57400,0.74712959,0001110000000111000
58467,58467,0.71469814,0001110010001100011
58504,58504,0.74009240,0001110010010001000
59091,59091,0.66536877,0001110011011010011
59093,59093,0.68100764,0001110011011010101
59533,59533,0.73000181,0001110100010001101
62325,62325,0.65534429,0001111001101110101
64563,64563,0.69967810,0001111110000110011
65105,65105,0.67051069,0001111111001010001
65536,65536,0.83822719,0010000000000000000
65640,65640,0.78294309,0010000000001101000
65675,65675,0.78525377,0010000000010001011
66114,66114,0.75049701,0010000001001000010
66609,66609,0.74920244,0010000010000110001
66639,66639,0.75489650,0010000010001001111
67597,67597,0.78121391,0010000100000001101
67820,67820,0.72425694,0010000100011101100
70189,70189,0.75642125,0010001001000101101
70193,70193,0.72833964,0010001001000110001
70377,70377,0.73654046,0010001001011101001
70824,70824,0.76494436,0010001010010101000
71241,71241,0.72820359,0010001011001001001
71759,71759,0.74848768,0010001100001001111
71936,71936,0.78416730,0010001100100000000
72076,72076,0.75630229,0010001100110001100
73772,73772,0.76713721,0010010000000101100
73972,73972,0.70985228,0010010000011110100
75832,75832,0.74560210,0010010100000111000
76290,76290,0.76138143,0010010101000000010
76887,76887,0.71200386,0010010110001010111
77837,77837,0.78640516,0010011000000001101
77860,77860,0.79981790,0010011000000100100
78312,78312,0.71650284,0010011000111101000
79384,79384,0.73093962,0010011011000011000
79920,79920,0.74475268,0010011100000110000
79980,79980,0.72740276,0010011100001101100
80708,80708,0.70813514,0010011101101000100
81098,81098,0.71655240,0010011110011001010
82090,82090,0.73642882,0010100000010101010
82224,82224,0.75259271,0010100000100110000
82532,82532,0.71977894,0010100001001100100
82957,82957,0.76389168,0010100010000001101
83287,83287,0.68167413,0010100010101010111
83972,83972,0.77133611,0010100100000000100
83987,83987,0.76148167,0010100100000010011
84241,84241,0.72979913,0010100100100010001
84431,84431,0.69298268,0010100100111001111
85846,85846,0.64199055,0010100111101010110
85968,85968,0.65153520,0010100111111010000
86040,86040,0.75451226,0010101000000011000
89961,89961,0.67383752,0010101111101101001
90264,90264,0.72498758,0010110000010011000
90548,90548,0.70129697,0010110000110110100
90772,90772,0.71352590,0010110001010010100
91010,91010,0.71609430,0010110001110000010
93234,93234,0.67836157,0010110110000110010
94176,94176,0.63435890,0010110111111100000
95330,95330,0.73528760,0010111010001100010
96781,96781,0.73236081,0010111101000001101
97096,97096,0.68663442,0010111101101001000
97424,97424,0.71261737,0010111110010010000
97545,97545,0.69703545,0010111110100001001
98749,98749,0.69835468,0011000000110111101
99376,99376,0.75137010,0011000010000110000
100265,100265,0.69084548,0011000011110101001
100412,100412,0.72083486,0011000100000111100
100833,100833,0.67723301,0011000100111100001
