row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
71,71,001000111,0.94542683,0.28702901,4,0.83672392
72,72,001001000,0.94954268,0.15190394,2,0.89435228
73,73,001001001,0.95304877,0.23045765,3,0.87000301
74,74,001001010,0.95701218,0.21003031,3,0.87600915
75,75,001001011,0.96234756,0.28894118,4,0.85345344
76,76,001001100,0.95228657,0.33200979,3,0.85908559
77,77,001001101,0.96112805,0.41450724,4,0.83967733
78,78,001001110,0.95731706,0.36897683,4,0.84041938
79,79,001001111,0.96295732,0.41677815,5,0.82127950
80,80,001010000,0.93689024,0.28390870,2,0.86849937
81,81,001010001,0.94405488,0.30410718,3,0.85364416
82,82,001010010,0.94527439,0.33788875,3,0.85148551
83,83,001010011,0.94893292,0.49506883,4,0.81942604
84,84,001010100,0.94329268,0.33972096,3,0.84932058
85,85,001010101,0.94954268,0.33755788,4,0.83578689
86,86,001010110,0.94984755,0.36336815,4,0.83351074
87,87,001010111,0.95015243,0.47987146,5,0.80216528
88,88,001011000,0.95701219,0.35275858,3,0.86173633
89,89,001011001,0.95807926,0.39733829,4,0.83834543
90,90,001011010,0.96189024,0.41406388,4,0.84048385
91,91,001011011,0.96265243,0.49464526,5,0.81318791
92,92,001011100,0.95716463,0.42326555,4,0.83483807
93,93,001011101,0.96036584,0.48441462,5,0.81192438
94,94,001011110,0.95807926,0.50917270,5,0.80716199
95,95,001011111,0.96036585,1.00000000,6,0.74036585
96,96,001100000,0.93307927,0.11757036,2,0.88132224
97,97,001100001,0.94390244,0.23877141,3,0.86002530
98,98,001100010,0.94801828,0.15843912,3,0.87217437
99,99,001100011,0.94954267,0.25975613,4,0.84356706
100,100,001100100,0.94817073,0.24066975,3,0.86410375
101,101,001100101,0.94710365,0.32397005,4,0.83470664
102,102,001100110,0.95167682,0.27692200,4,0.84398462
103,103,001100111,0.95152438,0.32615419,5,0.81890897
104,104,001101000,0.95685975,0.16309653,3,0.88055009
105,105,001101001,0.95838414,0.26343217,4,0.85204092
106,106,001101010,0.95899390,0.20303478,4,0.85869042
107,107,001101011,0.96432926,0.27491886,5,0.83683738
108,108,001101100,0.95853657,0.33334366,4,0.84520221
109,109,001101101,0.96265243,0.38125083,5,0.82452735
110,110,001101110,0.96067073,0.37086441,5,0.82358429
111,111,001101111,0.95899389,0.41877438,6,0.79711646
112,112,001110000,0.94817072,0.34657863,3,0.85351286
113,113,001110001,0.95045731,0.29933597,4,0.84052371
114,114,001110010,0.94740853,0.31689030,4,0.83571950
115,115,001110011,0.95274390,0.34625026,5,0.81811887
116,116,001110100,0.94649390,0.39527322,4,0.82696657
117,117,001110101,0.95182926,0.38554083,5,0.81327518
118,118,001110110,0.95167682,0.41574941,5,0.81010188
119,119,001110111,0.95167682,0.42578396,6,0.78909842
120,120,001111000,0.95442072,0.47144740,4,0.82727598
121,121,001111001,0.95624999,0.71747248,5,0.78450274
122,122,001111010,0.96356707,0.61726356,5,0.80184072
123,123,001111011,0.96265244,0.45942063,6,0.79671037
124,124,001111100,0.95731706,0.43938472,5,0.81337859
125,125,001111101,0.95655487,0.49251472,6,0.78730340
126,126,001111110,0.95548780,0.57370407,6,0.77811739
127,127,001111111,0.96173780,0.66550559,7,0.75518725
128,128,010000000,0.93231708,0.07923485,1,0.90439359
129,129,010000001,0.93353659,0.12057437,2,0.88147915
130,130,010000010,0.93948171,0.14147474,2,0.88533424
131,131,010000011,0.93475610,0.23981568,3,0.85077453
132,132,010000100,0.93963415,0.27269913,2,0.87236423
133,133,010000101,0.94329268,0.28172394,3,0.85512029
134,134,010000110,0.94115853,0.29723318,3,0.85143521
135,135,010000111,0.94298780,0.35794110,4,0.82719369
136,136,010001000,0.95564024,0.09059388,2,0.90658085
137,137,010001001,0.95899390,0.20952091,3,0.87804181
138,138,010001010,0.95807926,0.16057550,3,0.88202171
139,139,010001011,0.95868901,0.24263074,4,0.85442594
140,140,010001100,0.95442072,0.34636776,3,0.85978394
141,141,010001101,0.96082317,0.34585795,4,0.84623737
142,142,010001110,0.95624999,0.36347911,4,0.83990208
143,143,010001111,0.96402439,0.42641464,5,0.82138292
144,144,010010000,0.93551829,0.27082819,2,0.86843547
145,145,010010001,0.94359756,0.28070894,3,0.85552666
146,146,010010010,0.93704268,0.32698569,3,0.84434411
147,147,010010011,0.93673780,0.35086803,4,0.82165100
148,148,010010100,0.94192073,0.36849004,3,0.84507172
149,149,010010101,0.94359755,0.36770981,4,0.82682657
150,150,010010110,0.94283536,0.87688190,4,0.77514717
151,151,010010111,0.94329268,0.54810072,5,0.78848261
152,152,010011000,0.95137194,0.44119531,3,0.84725241
153,153,010011001,0.95548780,0.43735371,4,0.83175243
154,154,010011010,0.95701219,0.45738238,4,0.83127395
155,155,010011011,0.96448170,0.49080334,5,0.81540137
156,156,010011100,0.95960365,0.54307966,4,0.82529568
157,157,010011101,0.96082317,0.50041760,5,0.81078141
158,158,010011110,0.95868902,0.56792998,5,0.80189602
159,159,010011111,0.96189024,0.58268560,6,0.78362168
160,160,010100000,0.93993902,0.10152769,2,0.88978625
161,161,010100001,0.92698171,0.19916010,3,0.84706570
162,162,010100010,0.94603658,0.17343108,3,0.86869347
163,163,010100011,0.94695121,0.22793547,4,0.84415767
164,164,010100100,0.93567073,0.31337533,3,0.84433320
165,165,010100101,0.94253049,0.31887734,4,0.83064275
166,166,010100110,0.93810975,0.32501836,4,0.82560792
167,167,010100111,0.94801828,0.35469344,5,0.81254894
168,168,010101000,0.95564023,0.18699413,3,0.87694082
169,169,010101001,0.95548779,0.24483971,4,0.85100382
170,170,010101010,0.95838414,0.17581632,4,0.86080251
171,171,010101011,0.96189024,0.25440166,5,0.83645008
172,172,010101100,0.95487804,0.30564756,4,0.84431329
173,173,010101101,0.95685975,0.38152980,5,0.81870677
174,174,010101110,0.95960365,0.41688639,5,0.81791501
175,175,010101111,0.95853657,0.43840768,6,0.79469580
176,176,010110000,0.93414634,0.38000073,3,0.83614627
177,177,010110001,0.93948171,0.36199112,4,0.82328259
178,178,010110010,0.93704269,0.68966636,4,0.78807605
179,179,010110011,0.94100609,0.46422802,5,0.79458329
180,180,010110100,0.94024390,0.42685410,4,0.81755849
181,181,010110101,0.94634146,0.46726828,5,0.79961463
182,182,010110110,0.94146341,0.45738413,5,0.79572500
183,183,010110111,0.94435975,0.52461473,6,0.77189828
184,184,010111000,0.95670731,0.46351155,4,0.83035615
185,185,010111001,0.95701218,0.47823521,5,0.80918866
186,186,010111010,0.95899390,0.52676868,5,0.80631703
187,187,010111011,0.95945121,0.55329054,6,0.78412216
188,188,010111100,0.95518292,0.51538245,5,0.80364467
189,189,010111101,0.95990853,0.61641171,6,0.77826736
190,190,010111110,0.95594512,0.61496008,6,0.77444911
191,191,010111111,0.96371950,0.57165304,7,0.76655420
192,192,011000000,0.95045731,0.16929872,2,0.89352744
193,193,011000001,0.94710365,0.25820134,3,0.86128352
194,194,011000010,0.94481707,0.18978568,3,0.86583850
195,195,011000011,0.94939024,0.34378119,4,0.83501212
196,196,011000100,0.95152438,0.25827610,3,0.86569677
197,197,011000101,0.95167682,0.35375356,4,0.83630147
198,198,011000110,0.94984756,0.34107866,4,0.83573969
199,199,011000111,0.95213414,0.42672398,5,0.80946174
200,200,011001000,0.95548780,0.19499551,3,0.87598825
201,201,011001001,0.95670732,0.31496181,4,0.84521113
202,202,011001010,0.96128048,0.23755615,4,0.85752486
203,203,011001011,0.95914633,0.30860016,5,0.82828632
204,204,011001100,0.95350609,0.38832828,4,0.83467327
205,205,011001101,0.96051829,0.81932494,5,0.77858579
206,206,011001110,0.95899389,0.46842118,5,0.81215177
207,207,011001111,0.96158536,0.56999776,6,0.78458559
208,208,011010000,0.94878048,0.40843049,3,0.84793743
209,209,011010001,0.94817073,0.39853202,4,0.82831753
210,210,011010010,0.94496951,0.51755814,4,0.81321369
211,211,011010011,0.94496951,0.44371828,5,0.80059768
212,212,011010100,0.95243901,0.45462732,4,0.82697628
213,213,011010101,0.95426829,0.49644046,5,0.80462424
214,214,011010110,0.94893292,0.52976309,5,0.79595661
215,215,011010111,0.95259146,0.56524332,6,0.77606712
216,216,011011000,0.95609755,0.50130472,4,0.82596708
217,217,011011001,0.95792682,0.56009369,5,0.80191745
218,218,011011010,0.95884146,0.60105185,5,0.79873627
219,219,011011011,0.96006097,0.60592761,6,0.77946821
220,220,011011100,0.95899389,0.53370831,5,0.80562306
221,221,011011101,0.96021341,0.60497507,6,0.77971590
222,222,011011110,0.95731707,0.68738888,6,0.76857818
223,223,011011111,0.95929877,0.66203399,7,0.75309537
224,224,011100000,0.94085366,0.16703214,3,0.86415045
225,225,011100001,0.94527438,0.27906604,4,0.83736778
226,226,011100010,0.94878048,0.27000256,4,0.84178023
227,227,011100011,0.95060975,0.31084317,5,0.81952543
228,228,011100100,0.95106707,0.29256272,4,0.84181080
229,229,011100101,0.95137195,0.37176813,5,0.81419513
230,230,011100110,0.95442072,0.36340795,5,0.81807992
231,231,011100111,0.95198171,0.43049898,6,0.78893181
232,232,011101000,0.96219512,0.41429239,4,0.84076588
